DEPARTAMENTOS

COD_DEPTO,NOM_DEPTO
91,AMAZONAS
05,ANTIOQUIA
81,ARAUCA
88,ARCHIPIELAGO DE SAN ANDRES
08 ,ATLANTICO
11,BOGOTA D.C.
13,BOLIVAR
15,BOYACA
17,CALDAS
18,CAQUETA
85,CASANARE
19,CAUCA
20,CESAR
27,CHOCO
23,CORDOBA
25,CUNDINAMARCA
94,GUAINIA
95,GUAVIARE
41,HUILA
44,GUAJIRA
47,MAGDALENA
50,META
52,NARI�O
54,NORTE DE SANTANDER
86,PUTUMAYO
63,QUINDIO
66,RISARALDA
68,SANTANDER
73,TOLIMA
76,VALLE DEL CAUCA
97,VAUPES
99,VICHADA

GENEROS
COD_GENERO,DES_GENERO
M,Masculino
F,Femenino
L,Lesbiana
G,Gay
B,Bisexual
T,Transexual

TIPOS_DOCUMENTOS
TIPO_DOC,DES_TIPODOC
CC,C�dula Ciudadania
TI ,Tarjeta Identidad
CE,C�dula Extranjeria
PS,Pasaporte
NIT,N.I.T.

ESTADO
COD_ESTADO,DES_ESTADO
A,ACTIVO
I,INACTIVO
R,RETIRADO

ESTADO_CIVIL
COD_ESTCIVIL,DES_ESTADOCIVIL
CA,CASADO
SL,SOLTERO
UL,UNION LIBRE
DI,DIVORCIADO
VI,VIUDO

---AREAS
COD_AREA,DES_AREA
20000,Producci�n
25000,Contabilidad2
30000,Sistemas
35000,Recursos Humanos
40000,Gerencia
45000,Ventas-Mercadeo
50000,Servicios generales
